iter	Passed	Remaining
0	73	73283
1	96	48052
2	120	39899
3	143	35766
4	166	33190
5	189	31448
6	210	29850
7	231	28665
8	252	27775
9	274	27158
10	295	26566
11	316	26053
12	338	25689
13	359	25284
14	379	24920
15	400	24629
16	423	24462
17	444	24226
18	465	24054
19	487	23906
20	508	23721
21	530	23569
22	552	23448
23	573	23332
24	594	23199
25	616	23093
26	639	23063
27	661	22972
28	682	22854
29	705	22826
30	727	22735
31	748	22639
32	770	22580
33	791	22488
34	812	22406
35	834	22350
36	855	22276
37	876	22200
38	897	22118
39	922	22148
40	948	22174
41	973	22198
42	996	22170
43	1018	22121
44	1038	22048
45	1060	21985
46	1081	21929
47	1103	21878
48	1123	21813
49	1146	21776
50	1168	21743
51	1189	21679
52	1210	21637
53	1233	21607
54	1254	21551
55	1275	21500
56	1296	21450
57	1317	21405
58	1338	21352
59	1360	21318
60	1382	21283
61	1404	21248
62	1425	21207
63	1448	21183
64	1469	21140
65	1490	21099
66	1513	21075
67	1535	21049
68	1556	21006
69	1580	20994
70	1601	20955
71	1623	20921
72	1645	20894
73	1667	20862
74	1688	20824
75	1709	20779
76	1731	20756
77	1752	20713
78	1773	20670
79	1795	20650
80	1816	20612
81	1838	20586
82	1860	20556
83	1882	20532
84	1904	20502
85	1927	20481
86	1949	20457
87	1971	20429
88	1992	20390
89	2014	20372
90	2036	20346
91	2058	20317
92	2081	20304
93	2103	20277
94	2126	20258
95	2149	20236
96	2171	20211
97	2193	20187
98	2215	20159
99	2237	20135
100	2260	20118
101	2281	20084
102	2302	20050
103	2323	20013
104	2345	19988
105	2366	19960
106	2388	19930
107	2409	19904
108	2431	19877
109	2453	19847
110	2474	19817
111	2496	19790
112	2517	19761
113	2538	19731
114	2561	19714
115	2583	19685
116	2605	19660
117	2627	19641
118	2650	19620
119	2672	19598
120	2694	19571
121	2716	19552
122	2740	19537
123	2761	19505
124	2781	19473
125	2803	19443
126	2825	19424
127	2847	19399
128	2869	19374
129	2892	19359
130	2914	19336
131	2936	19307
132	2958	19284
133	2979	19256
134	2999	19221
135	3022	19201
136	3044	19176
137	3066	19154
138	3090	19145
139	3112	19116
140	3132	19085
141	3155	19063
142	3177	19040
143	3198	19015
144	3221	18993
145	3242	18964
146	3263	18937
147	3286	18918
148	3308	18898
149	3329	18868
150	3352	18846
151	3373	18822
152	3395	18799
153	3418	18778
154	3438	18747
155	3460	18722
156	3481	18692
157	3504	18675
158	3526	18653
159	3548	18628
160	3570	18606
161	3592	18581
162	3613	18553
163	3634	18529
164	3657	18509
165	3678	18479
166	3700	18458
167	3722	18435
168	3744	18413
169	3768	18398
170	3789	18373
171	3811	18348
172	3833	18327
173	3854	18299
174	3875	18271
175	3897	18249
176	3919	18223
177	3941	18201
178	3964	18183
179	3985	18155
180	4006	18128
181	4027	18102
182	4049	18079
183	4071	18054
184	4091	18025
185	4111	17993
186	4134	17973
187	4154	17944
188	4176	17922
189	4199	17902
190	4220	17874
191	4241	17848
192	4263	17826
193	4283	17796
194	4304	17770
195	4326	17747
196	4348	17726
197	4370	17701
198	4391	17675
199	4412	17651
200	4434	17627
201	4456	17604
202	4478	17584
203	4499	17558
204	4521	17533
205	4541	17505
206	4564	17486
207	4586	17462
208	4608	17440
209	4630	17421
210	4652	17398
211	4674	17374
212	4697	17355
213	4718	17332
214	4739	17305
215	4762	17287
216	4784	17263
217	4805	17238
218	4827	17215
219	4848	17188
220	4868	17159
221	4889	17134
222	4911	17112
223	4932	17088
224	4954	17065
225	4977	17046
226	4998	17021
227	5020	16998
228	5043	16979
229	5064	16956
230	5086	16933
231	5109	16915
232	5131	16893
233	5152	16866
234	5176	16849
235	5196	16823
236	5218	16801
237	5240	16779
238	5261	16752
239	5282	16728
240	5302	16701
241	5325	16680
242	5346	16655
243	5367	16629
244	5388	16605
245	5409	16581
246	5431	16558
247	5452	16534
248	5475	16513
249	5495	16486
250	5515	16460
251	5539	16443
252	5561	16421
253	5583	16400
254	5606	16380
255	5629	16359
256	5650	16335
257	5673	16316
258	5695	16293
259	5716	16268
260	5738	16248
261	5760	16225
262	5782	16203
263	5804	16183
264	5826	16161
265	5846	16134
266	5868	16111
267	5890	16088
268	5911	16064
269	5933	16042
270	5957	16025
271	5979	16003
272	6002	15984
273	6023	15960
274	6045	15938
275	6068	15920
276	6091	15898
277	6112	15874
278	6134	15852
279	6156	15830
280	6176	15804
281	6196	15778
282	6220	15758
283	6240	15733
284	6261	15709
285	6283	15685
286	6304	15663
287	6326	15641
288	6348	15618
289	6370	15596
290	6392	15573
291	6412	15548
292	6435	15528
293	6456	15504
294	6478	15482
295	6501	15463
296	6523	15440
297	6544	15416
298	6567	15396
299	6588	15372
300	6609	15349
301	6630	15325
302	6653	15304
303	6673	15279
304	6695	15257
305	6717	15234
306	6738	15211
307	6760	15189
308	6783	15168
309	6804	15146
310	6826	15124
311	6848	15102
312	6870	15079
313	6892	15058
314	6915	15037
315	6937	15015
316	6959	14994
317	6982	14974
318	7003	14951
319	7024	14926
320	7047	14906
321	7068	14883
322	7090	14860
323	7112	14840
324	7135	14819
325	7156	14796
326	7180	14777
327	7201	14753
328	7222	14729
329	7244	14708
330	7266	14687
331	7288	14664
332	7311	14645
333	7333	14623
334	7356	14602
335	7378	14582
336	7400	14559
337	7422	14537
338	7444	14515
339	7465	14492
340	7486	14468
341	7507	14444
342	7530	14424
343	7550	14399
344	7571	14375
345	7594	14355
346	7616	14332
347	7637	14310
348	7661	14290
349	7683	14268
350	7704	14246
351	7727	14226
352	7748	14202
353	7770	14180
354	7794	14161
355	7816	14139
356	7838	14117
357	7860	14096
358	7882	14073
359	7903	14050
360	7924	14027
361	7946	14004
362	7967	13982
363	7992	13964
364	8015	13944
365	8039	13926
366	8062	13906
367	8085	13886
368	8108	13866
369	8130	13843
370	8153	13823
371	8177	13804
372	8198	13781
373	8219	13758
374	8241	13736
375	8263	13713
376	8285	13691
377	8309	13672
378	8331	13651
379	8358	13638
380	8409	13662
381	8439	13653
382	8465	13637
383	8489	13619
384	8511	13596
385	8534	13575
386	8558	13555
387	8580	13534
388	8603	13513
389	8625	13491
390	8647	13468
391	8669	13446
392	8691	13424
393	8713	13402
394	8737	13383
395	8760	13361
396	8782	13339
397	8805	13319
398	8827	13296
399	8848	13273
400	8872	13252
401	8894	13230
402	8915	13207
403	8938	13186
404	8959	13162
405	8980	13139
406	9003	13117
407	9025	13095
408	9046	13072
409	9069	13050
410	9090	13027
411	9112	13005
412	9135	12984
413	9156	12959
414	9178	12937
415	9200	12916
416	9222	12893
417	9244	12870
418	9266	12849
419	9288	12826
420	9309	12803
421	9333	12783
422	9354	12759
423	9375	12736
424	9397	12714
425	9418	12691
426	9440	12668
427	9463	12647
428	9484	12624
429	9506	12601
430	9527	12578
431	9550	12557
432	9572	12534
433	9593	12511
434	9615	12489
435	9636	12465
436	9657	12442
437	9679	12420
438	9701	12397
439	9722	12373
440	9742	12349
441	9766	12329
442	9786	12304
443	9808	12282
444	9831	12261
445	9852	12238
446	9874	12216
447	9899	12197
448	9922	12176
449	9943	12153
450	9966	12132
451	9988	12110
452	10012	12089
453	10033	12067
454	10056	12045
455	10079	12024
456	10100	12001
457	10123	11980
458	10147	11959
459	10168	11937
460	10190	11914
461	10212	11892
462	10233	11869
463	10255	11847
464	10278	11826
465	10300	11803
466	10321	11779
467	10343	11758
468	10365	11735
469	10386	11712
470	10408	11690
471	10429	11666
472	10450	11643
473	10471	11619
474	10494	11599
475	10516	11577
476	10538	11554
477	10560	11532
478	10580	11508
479	10601	11485
480	10624	11463
481	10644	11439
482	10664	11415
483	10685	11392
484	10707	11369
485	10728	11346
486	10749	11323
487	10769	11299
488	10792	11277
489	10813	11254
490	10834	11231
491	10855	11208
492	10877	11186
493	10898	11163
494	10918	11139
495	10940	11117
496	10962	11094
497	10982	11071
498	11004	11049
499	11026	11026
500	11047	11003
501	11068	10980
502	11090	10958
503	11111	10934
504	11131	10911
505	11151	10887
506	11173	10865
507	11193	10841
508	11213	10817
509	11235	10794
510	11259	10775
511	11283	10754
512	11307	10734
513	11328	10710
514	11347	10686
515	11368	10663
516	11389	10640
517	11409	10616
518	11429	10593
519	11451	10570
520	11471	10547
521	11492	10523
522	11513	10500
523	11534	10477
524	11555	10455
525	11576	10431
526	11596	10408
527	11618	10386
528	11639	10363
529	11658	10339
530	11679	10315
531	11701	10293
532	11721	10270
533	11741	10246
534	11762	10223
535	11784	10201
536	11804	10178
537	11825	10154
538	11845	10131
539	11868	10110
540	11889	10087
541	11909	10063
542	11929	10040
